url,keyword,owner_handle,owner_name,caption,transcript,views,thumbnail,location_name,us_decision,relevance_decision,discovered_at,updated_at,status
https://www.instagram.com/reel/DM07MKLzsIj,pilates workouts,maggie.steffens,Maggie Steffens Conner,"One of my biggest icks: ankles touching! Anyone else ?! Also… this wind in the video…

Working on that new home fitness routine & getting creative from my new home in Marin - finding that Pilates grind 💪🏼",,3788,https://instagram.fgua5-1.fna.fbcdn.net/v/t51.2885-15/527231220_18519096793026703_5291187643967301104_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fgua5-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QFCzeYw8T5fKkWf2WYW0hn4ShmSKgqr6D3lesnu92V9d6Kfv_u2QQTrnS1IV4mtiDY&_nc_ohc=SULraNVzNMkQ7kNvwGI-xcw&_nc_gid=BjXvUlpoE8nUH1GalkRqZw&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffTIx4f0kLa78hgf4Vwr8umL2BUSQlMWvuqGCbaxdYEXQ&oe=68EECE09&_nc_sid=d885a2,,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:20.297Z,transcript_fetched
https://www.instagram.com/reel/DLrxJz3AJt5,pilates workouts,erica.almodovar,Erica Assis Almodovar,"🌟Mountains Climb on the Wunda Chair
🇺🇸
- One of the very challenging intermediate exercises on the Wunda Chair is Mountain Climb.
- Many don’t realize that this exercise turns around for an even more challenging version called Reverse Mountain Climb. 
- Both can be practiced on the High Chair for added support by holding the sides of the chair and more spring resistance. 

🇧🇷
- Um dos exercícios intermediários mais desafiadores na Cadeira Wunda é o Mountain Climb.
- Muitos não percebem que este exercício se transforma em uma versão ainda mais desafiadora, chamada Reverse Mountain Climb. 
- Ambos podem ser praticados na High Chair para maior suporte, segurando nas laterais da cadeira e aumentando a resistência das molas.

🇪🇸
- Uno de los ejercicios intermedios más desafiantes en la Silla Wunda es la Mountain Climb.
- Muchos desconocen que este ejercicio se convierte en una versión aún más desafiante llamada Reverse Mountain Climb. 
- Ambos se pueden practicar en la High Chair para mayor soporte sujetándose a los lados de la silla y aumentando la resistencia del resorte.

#pilates #pilatesinstructor #pilateslovers #pilatesstudio #inspiration #classicalpilates #authenticpilateslearningcenter #aplcbrasil #aplcusa #aplcespaña",,215,https://scontent-hel3-1.cdninstagram.com/v/t51.2885-15/515402330_759604263080179_2411060191383033103_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-hel3-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFEaxiqwLjpHoVPwW3dkBVD4cVGZqphah4V4kMBshT9Lj2aHFhQjOxBHCL1_aHd02g&_nc_ohc=LSgv__m72bIQ7kNvwGj3TbM&_nc_gid=ly0Fj4wArf8gVB506c_vNQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffbQ5qAuP_qrZ0fsQGNQ7bqSpqwMy4fMhUNKmczpwLalA&oe=68EEC0CD&_nc_sid=d885a2,Authentic Pilates Learning Center,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:20.297Z,transcript_fetched
https://www.instagram.com/reel/DHPSUtaSHGF,pilates workouts,jennifermartinusc,Jennifer Martin,"P I L A T E S 💙R e f o r m e r 

Here are a few “classical Pilates” exercises designed by Joseph Pilates for the Reformer. 

During World War I, Pilates, who was living in England, was interned as a German ""enemy alien"". He used this time to develop his fitness program, which he later called ""Contrology,"" focusing on mind-body connection and core strength. 

While in the internment camp, Pilates began teaching his fitness methods to fellow internees, and later, he worked as an orderly in a hospital on the Isle of Man, where he developed his apparatus by attaching bed springs to hospital beds to help rehabilitate patients unable to walk. 

The springs he used to help patients move and strengthen their muscles while bedridden became the inspiration for the iconic Pilates Reformer. 

After the war, Pilates returned to Germany and continued to study fitness and movement, eventually collaborating with experts in dance and physical exercise. He later emigrated to the United States, where he and his wife Clara opened a studio in New York City, where he worked with dancers and athletes. 

Today, Pilates is more popular than ever because it helps with everything. It’s one of the best workouts for your mind and body. Make sure you work with a certified Pilates teacher who has experience. 

🔸First Video: 
Footwork-“running or prancing”. I like to do a set with the pelvis neutral & another set with the pelvis lifted a few inches off the mat. The footwork exercises were meant to activate all the important muscles in our feet similar to acupressure. The feet are responsible for three quarters of our body & help with balance. 

🔸Second Video:
“The Shoulder Bridge” which is a great way to work your glutes and back while stretching the front of your hips and shoulders. Adding the magic circle and light dumbbells makes it even tougher. 

🔸Third Video:
“Feet in Straps”-Leg Circles are a favorite for most Pilates lovers because it massages our hips and feels amazing. 

🔸4th Video
“The Shoulder Bridge” w heels together toes apart. 

#fitness #pilates #instagood #health #pilateslovers #focus #core #pilatesreformer #classical #instagram #health #workout #josephpilates #love","oh no
who can you tell me, was it worth it?
baby, I don't wanna know

touch, can't resist the smell on you
you won't forget me",138,https://instagram.fjed6-1.fna.fbcdn.net/v/t51.2885-15/503780479_585296927508606_1698299574854561351_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fjed6-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QFQxPXWIFCpXTGM2kP9G6ZLeo2pk5Lqkh0RaAxCTWWedetiqHqHijYMGLBwJSxLN6E&_nc_ohc=l2dMw1OiCrQQ7kNvwFrcxe3&_nc_gid=GLKYqUbsp3CALzh6t98vRA&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AffI3kV1tZceTCuO3AxUCBFaUZj-d5ZlC5fFuECQmbOP3A&oe=68EEC440&_nc_sid=d885a2,Harmony Studios Pilates,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:20.297Z,transcript_fetched
https://www.instagram.com/reel/DO32__OEgzq,pilates workouts,breathepilatesllc,Breathe Pilates llc,"Feeling stuck in your fitness routine?
Tired of workouts that leave you sore but not stronger?
Struggling to stay consistent and motivated?

It’s time to break the cycle.
🔥 Join Pilates Bootcamp: Ignite 2025 🔥

A results-driven program designed to challenge your body, fire up your core, and build strength that lasts. 

This isn’t just Pilates—it’s a full-body transformation experience that will leave you energized, confident, and unstoppable.

What you’ll get:
✔️ Dynamic Pilates workouts with a bootcamp twist
✔️ Strength + endurance training that fits all levels
✔️ Support + accountability to keep you on track
✔️ A community that lifts you up every step of the way

🚀 2025 is your year to move better, feel stronger, and ignite your best self.

📅 Reserve your spot today—limited slots available!

#Cacaoceremony #cacaoceremonyincolorado #Pilatesincolorado #yogaincolorado #barreincolorado",,36,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/551874954_18136719877440113_840709508163194108_n.jpg?stp=c0.436.1128.1128a_dst-jpg_e35_s640x640_sh0.08_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFPncYhkVj6JXyiy449K-O2SrbHysdcLAZqJRNI8K3xKoEU2Llt1fesxmTJIpSwuiI&_nc_ohc=2Kjo1rqKdAcQ7kNvwHpFWI9&_nc_gid=I2PNnY_enMpYztK8vmxvFg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afe9G-oNko3NWXwi1wHGl8lo051iDN_q5HAZOKaBCBZFjg&oe=68EEC977&_nc_sid=d885a2,,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:20.297Z,transcript_fetched
https://www.instagram.com/reel/C4obs6UgE9S,pilates workouts,erica.almodovar,Erica Assis Almodovar,"🌟Rolling In and Out

- One of my favorite exercises that combine so much strength and length.

- Um dos meus exercícios favoritos que combina muita força e alongamento.

#pilates #pilatesworkout #teachersneedteachers #pilatesstudio #authenticpilateslearningcenter #pilatesfit #pilatesstrong #lovewhatyoudo #dowhatyoulove #pilatesinstructor #pilateslovers",,3106,https://instagram.fgye7-1.fna.fbcdn.net/v/t51.2885-15/502987710_2722390637952224_1517901020792305621_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=instagram.fgye7-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QH1VnT2mSHCA-mKImPKd6SFWYM07CzEzAbuxTXLzr-0apOfJ28Urv_HNaWxpZyT8Wo&_nc_ohc=p3kjqTENWXAQ7kNvwHgP5dW&_nc_gid=zxHRyF2OJ2qVdf3K4uXTeg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfeVFyYLGxCpHw19lxsSXn0UMuLIXBUxDpi3ZSnRyEkuJA&oe=68EED66C&_nc_sid=d885a2,Authentic Pilates Learning Center,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:00.565Z,hydrated
https://www.instagram.com/reel/DLBAGL4Jm42,pilates workouts,montefiorehealthsystem,Montefiore Health System,"Stay Strong, Steady, and Flexible (At Any Age) With Pilates! 

Pilates is a gentle, low-impact way to build strength, improve balance, and boost flexibility—especially helpful for older adults looking to stay active and independent.

Regular practice can:
✔️ Reduce the risk of falls
✔️ Support posture and core stability
✔️ Ease joint and back pain
✔️ Improve everyday mobility

You don’t need fancy equipment to start—Pilates can be done on a mat, a reformer, or even from a chair.

Before beginning any new exercise routine, be sure to talk with your doctor to ensure it’s right for you.

#MontefioreEinstein #PilatesForSeniors #HealthyAging #StayStrong #LowImpactExercise",,22007,https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/506416038_18512584921026457_2203568555291200250_n.jpg?stp=c0.280.720.720a_dst-jpg_e15_s640x640_tt6&_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QG_mj-Z1KMP1GIDijBtYIgFJom8hrCfdCRsXU94M479awVYBjkNAMljzr3hA8diwQw&_nc_ohc=aA2Tdj4rdYwQ7kNvwFUu2d8&_nc_gid=0c7X2HTqtgq8v2Giqbq12w&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afd4aoJcrDoQfXEIjFeoenLn7xvgbAvipINnDi6RKpx_5Q&oe=68EEB846&_nc_sid=d885a2,,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:00.565Z,hydrated
https://www.instagram.com/reel/DOJnWFtjoVY,pilates workouts,kinesispilatesdenver,Kinesis Pilates,"💫Stronger, longer, more connected 💫
This intermediate reformer class challenges you to take your practice to the next level. Expect dynamic movement, deeper core work, and flowing transitions that keep your mind sharp and your body engaged.

Pilates isn’t just exercise—it’s a practice in precision, control, and building strength from the inside out. 💪🖤

Have you gotten your Pilates in today? Book your spot and feel the difference at Kinesis Pilates.

#kinesispilatesdenver #ClassicalPilates #ReformerPilates #IntermediatePilates #PilatesPractice #PilatesBody #MindBodyConnection #PilatesEveryday",,242,https://scontent-scl2-1.cdninstagram.com/v/t51.2885-15/539965362_771928842671128_6008689481598184442_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-scl2-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QErmqG6Nin1CPOjAj0d4V8LBtghwstk4TcNxYOHw5Rvg_M8hOxcn40NOkQQLHRKVzA&_nc_ohc=jThLoQ6_7QUQ7kNvwFV9da9&_nc_gid=w5tMGriXD_wZlu5lEYwkeQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfdK9VGMON3LuWbZt2D8qk4wa1s1WWPn5N_HkSeYoMBFMA&oe=68EEB088&_nc_sid=d885a2,Kinesis Pilates,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:20.297Z,transcript_fetched
https://www.instagram.com/reel/DOUuQ42jug9,pilates workouts,erica.almodovar,Erica Assis Almodovar,"🌟Pilates Reformer Workout

Tendon Stretch - High Frog - Head Stand Front/Back

👉🏼 Online Workshop September 20 via zoom
👉🏼Workshoo online English & Portuguese 

DIGITA “ EU QUERIa",,1931,https://instagram.fcgh39-1.fna.fbcdn.net/v/t51.2885-15/543761493_1874130729835892_4818347569415308418_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fcgh39-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGBnq8ukG6jXF3nfq2Ck4KwMA0hOudfDMZ50rh5gqsp9ClPQMhR4zig47LT871JGxU&_nc_ohc=B3mf-spN5MYQ7kNvwE7VHfJ&_nc_gid=RfTlGMGuoeZnIgaYOHvTSQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcDas74vEnGEYA3-BE8nhYMu8aLJHBGd9b0EruG-Ge5aA&oe=68EEC15F&_nc_sid=d885a2,Authentic Pilates Learning Center,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:00.565Z,hydrated
https://www.instagram.com/reel/DMqcK7hP1je,pilates workouts,goldsgymeastnorthport,"GOLDS GYM - EAST NORTHPORT, NY","Find your strength, lengthen your body, and reconnect with your core at our Pilates class. Join us on the mat — Thursdays at 5 PM & Sundays at 8 AM. #goldsgym #eastnorthport #strongerstartshere #pilates",,423,https://scontent-icn2-1.cdninstagram.com/v/t51.2885-15/525193342_1920609052036551_539992425229761468_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=scontent-icn2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QGPQAjSXSIJhxTF-MfaYc1uxc3YDJx9gc3DEqxrPcu1GfTMH-lBuRmwewP5ZtUUrUo&_nc_ohc=O-t8HaJDEk8Q7kNvwEckJfr&_nc_gid=21BjqTkVxyOcks_7-r3wPQ&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AfcNssTNsMgQRFD9vhFHR7-y_3k1egsIzaC_xLOVvUS7Wg&oe=68EEA957&_nc_sid=d885a2,"Golds Gym - East Northport, NY",,,2025-10-10T10:36:16.748Z,2025-10-10T10:37:03.469Z,transcript_fetched
https://www.instagram.com/reel/DOoMcqzjnrU,pilates workouts,cachevalleybuzz,Cache Valley Buzz,"🌟 Stronger Core. Better Posture. Total Body Transformation. 🌟 @sportsacademylogan 
Ready to take your fitness to the next level? 🔥 Discover the power of Reformer Pilates at The Sports Academy — a full-body, low-impact workout designed to strengthen, lengthen, and sculpt from head to toe.
✔ Improve flexibility
✔ Build core strength
✔ Enhance posture & balance

Whether you’re a beginner or a seasoned athlete, our expert instructors will guide you through every movement on the reformer for maximum results. Thanks @shelley_dawson 
🗓️ Spots filling fast — reserve your spot today!
📍 The Sports Academy",,2098,https://instagram.fhdy1-1.fna.fbcdn.net/v/t51.2885-15/548671009_1041129251281494_3542794598208612210_n.jpg?stp=c0.248.640.640a_dst-jpg_e15_tt6&_nc_ht=instagram.fhdy1-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QEYQdaqgNvGywr-Q2gYKMrluzPac6bUESbqErucQ_IiJi1Lc-gKQeiSJd34Lx3oPhA&_nc_ohc=lsvR_pYbo7cQ7kNvwHoaGtE&_nc_gid=fSwh3YnjncSUCs326hZFOg&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_Afc-XbCcp88o8TDVlER1FT3K_jSbrn1aZopekaUT-bkLFw&oe=68EEA5D2&_nc_sid=d885a2,Sports Academy & Racquet Club,,,2025-10-10T11:11:31.585Z,2025-10-10T11:12:00.565Z,hydrated
